
File: ../datasets/yacht_hydrodynamics.txtFinal results.
SEED: N_vars: 6 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 2 MAX_D: 5 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN

1, 2352.6784976, 1523979391.99, 3463974.48108, 0.0
2, 2181.09135946, 150525477.677, 342088.84902, 46.2761037741
3, 2071.49154472, 365788131.532, 758279.170036, 39.1585432882
4, 1907.68672618, 18220820.308, 65914.9591465, 35.0117754031
5, 1747.90918537, 5382815992.3, 10798175.5077, 31.6250596326
6, 1738.13582369, 1777916731.22, 3582619.41431, 32.8807622748
7, 1663.83718301, 2.88374275658e+16, 5.7674855174e+13, 32.544094392
8, 1616.8138063, 1184132615.89, 2556624.80251, 33.159964399
9, 1466.77243208, 284131468.975, 608182.663851, 31.5882523555
10, 1424.17900128, 559260414.273, 1252902.72462, 32.208419163
11, 1272.95781382, 319334980.45, 685534.996211, 30.8630940019
12, 1191.96106523, 399437982.982, 846656.0647, 32.0577005046
13, 1085.18055515, 55134198.8644, 154451.108467, 30.68727949
14, 1080.1089527, 144819237.99, 334545.671886, 30.5108721441
15, 1025.4691813, 2.16482246549e+16, 4.32964494666e+13, 30.3701550741
16, 1007.92748717, 1.5639617363e+11, 312824828.071, 30.6929179571
17, 941.133104887, 29296600.6124, 117262.396158, 29.9920694748
18, 885.982544248, 294760546.479, 667496.259915, 30.5146651394
19, 850.973525542, 13469321619.7, 26985729.9267, 31.1579550631
20, 786.643022795, 62583724.4623, 165393.659891, 30.1660314308
21, 734.948023354, 2562185614.92, 5170402.0734, 30.8571486937
22, 714.679639138, 149193088.702, 328185.170541, 30.264618138
23, 710.397370353, 35995847.434, 108870.293527, 30.5431221963
24, 669.125195678, 29692544.9117, 87437.0202255, 29.9205183679
25, 636.304355606, 228991123.459, 495413.478776, 29.6340434969
26, 631.8794733, 37072041.3963, 95086.807036, 30.5605500876
27, 615.101849226, 33681200.3958, 100788.291244, 29.1846460312
28, 584.15048124, 1418023772.65, 2914598.73797, 30.1900262493
29, 579.981117221, 2.36962422789e+14, 473924879391.0, 29.6989311036
30, 555.637179221, 313433220.206, 760826.643081, 30.0180269323
31, 550.494967951, 2645008109.32, 6748054.14717, 29.4094122274
32, 535.606477325, 91567083.9966, 238415.683974, 29.2060419986
33, 530.22680524, 9124965319.46, 18341518.0116, 29.70939064
34, 520.263900051, 98330036.0714, 248165.052021, 29.7592207815
35, 502.97879231, 2.84008186406e+15, 5.68016377209e+12, 29.6541834053
36, 500.887307943, 1.11604952843e+13, 22321094486.6, 29.2820045749
37, 499.6587779, 5.64410470518e+14, 1.12882101643e+12, 28.6838165203
38, 489.115021277, 4.51371595e+15, 9.02743200355e+12, 27.5319641029
39, 479.51250264, 35932707.2264, 119288.788299, 29.4403277539
40, 465.612528362, 46692649.9582, 145860.607349, 28.5153205136
41, 465.612528362, 446485754.127, 949146.224453, 29.0923701509
42, 461.398606225, 64420052.4304, 154118.821829, 28.8842865659
43, 445.475901174, 18884239.5612, 69530.7732113, 28.5318822905
44, 445.009966432, 8.71777314668e+14, 1.74355493959e+12, 29.8581117546
45, 437.001704552, 21559037.5069, 69806.4635492, 28.3964537743
46, 431.609725017, 80629440.0075, 205982.595802, 28.2327823119
47, 431.519925538, 265729182.876, 592805.435911, 28.5650436074
48, 427.697645852, 115363595.134, 265884.912822, 28.6448452661
49, 425.484315134, 4.55424572583e+12, 9108574472.51, 28.2239639504
50, 424.137229828, 3011129876.07, 6061779.79066, 27.9415867238
51, 422.633019468, 122578848.283, 282439.996961, 28.7984954094
52, 422.112874438, 261836885.265, 558632.530497, 28.8802851864
53, 421.064990984, 73435910.8441, 180318.390378, 28.0618588365
54, 420.539426145, 1.14250899519e+11, 228629174.561, 29.7228508555
55, 420.472116023, 559157414.501, 1312254.9515, 28.7179531327
56, 420.346654776, 166310893.65, 389692.916868, 28.8846148041
57, 415.424325886, 838097228.95, 1718425.84869, 28.3668932042
58, 409.717856083, 81455537.3421, 223040.017391, 28.4965935559
59, 409.701226978, 231235617.006, 499356.434723, 28.1602703055
60, 409.097265321, 29631922.418, 112284.602189, 28.0483486855
61, 405.009355476, 8.8719286561e+15, 1.77438607336e+13, 27.2900665894
62, 404.531599869, 1.30204110914e+15, 2.60408240311e+12, 27.9492923354
63, 401.952012709, 338216302.233, 717430.514556, 28.2955836586
64, 400.364392293, 306440380.84, 680232.780757, 27.8251806488
65, 388.218728532, 168199029.038, 394797.777034, 26.9648526247
66, 386.469764655, 1.12589995401e+15, 2.25179995107e+12, 28.5251096411
67, 386.241893594, 3.42809242184e+12, 6856214877.58, 28.3882825725
68, 385.835832208, 1.20033289639e+16, 2.40066579566e+13, 27.6337644094
69, 385.050929971, 1.00852522355e+16, 2.01705045542e+13, 28.8057488189
70, 383.763022494, 71605862.5877, 183837.322078, 28.4072715772
71, 382.245841523, 297475150.484, 624837.131039, 28.3110037808
72, 380.557970113, 29538147034.5, 59143574.6483, 26.9656616246
73, 380.094606823, 40253982.7336, 127783.205332, 27.8040629319
74, 376.010213207, 19305881.6754, 66339.0069808, 28.4377893246
75, 375.903667597, 232813683.385, 514359.225213, 27.689477537
76, 375.396243078, 3.60400729579e+15, 7.20801462005e+12, 29.3383134782
77, 374.591474162, 268207497.723, 572369.487721, 27.843958369
78, 372.731113101, 191875033.533, 412265.632015, 28.8426441948
79, 370.612200249, 69395694.6316, 219585.381547, 27.9340248171
80, 368.505911093, 506576595.766, 1086311.7579, 27.9967310148
81, 368.432855372, 32999271.0983, 93318.5343107, 28.017814049
82, 368.429985557, 1175811364.38, 2599618.11075, 27.6887066472
83, 364.778128256, 198551236.962, 483188.386916, 28.6101089254
84, 361.17594328, 163700440.817, 383702.463245, 28.8104065142
85, 360.52752176, 26943957.1462, 80415.8159485, 28.6263825999
86, 360.523015339, 61369106.4919, 166169.14805, 29.0544201234
87, 359.108661928, 295407938.726, 657964.692204, 27.1214497184
88, 359.108661928, 502844772.561, 1052173.88012, 27.597259126
89, 358.970226715, 78679174.3615, 215413.390971, 28.9415340961
90, 357.954292113, 55643678.3625, 145664.301168, 26.2582605494
91, 356.365944749, 56914576.4712, 148906.358603, 27.4825744271
92, 356.365944749, 188182799.647, 418829.478512, 27.0117350154
93, 353.008710941, 91355315.1041, 275774.023447, 28.378582393
94, 351.225176816, 424445396.314, 887055.975831, 28.6866764536
95, 349.812869739, 139673523.099, 380604.98377, 27.9101341319
96, 349.774527556, 1301987997.06, 2644454.62043, 27.6083412449
97, 347.369808221, 76155550.301, 208938.45184, 27.1953404391
98, 347.369808221, 47771029.7228, 117322.311033, 27.7858742066
99, 346.025064464, 964682129.134, 1963644.53825, 27.2733520701
100, 345.315596448, 3.60717487658e+13, 72143666780.8, 28.1369644961
