
File: ../datasets/SR_div.txtFinal results.
SEED: N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN
72, 1.22256090311, 4.62111135159e+16, 9.24226906534e+13, 40.8913708269
73, 1.22231723341, 37660357686.3, 81075115.6919, 39.7257428297
74, 1.22227215592, 3.64156033923e+16, 7.28312265341e+13, 40.9866301379
75, 1.22146005971, 45920724282.3, 96194455.2562, 39.139182419
76, 1.22141912913, 1.09024772287e+11, 220780269.951, 39.8969738072
77, 1.22090522658, 76400428788.4, 155620095.944, 39.9940733873
78, 1.08888143563, 6.10656071232e+11, 1225544320.45, 39.9991594129
79, 1.01768083931, 1.13892883346e+14, 227816195249.0, 39.5458754853
80, 0.848602272629, 1.29433480921e+15, 2.58867091599e+12, 38.7014635236
81, 0.848100225801, 4.42479095759e+15, 8.85603267771e+12, 40.0796666729
82, 0.848100225801, 36345182638.7, 74039608.7052, 38.7319836745
83, 0.848087550743, 52958090846.9, 106499299.577, 39.6983449772
84, 0.847998207383, 7.7619455609e+13, 155240218486.0, 40.5704149675
85, 0.847998207383, 29010178127.0, 58435541.7795, 41.0779520235
86, 0.845987209466, 3.89688194425e+15, 7.79376602141e+12, 40.3977955892
87, 0.845679394085, 6.04510010364e+13, 120929019536.0, 40.0437635055
88, 0.845679394085, 1.08921235215e+12, 2179273939.47, 40.0730750478
89, 0.840851554525, 3.74044465212e+11, 749216239.808, 40.3659381427
90, 0.840851554525, 3.35209614699e+13, 67734269254.2, 40.7414964887
91, 0.839724507582, 2.90065953238e+12, 5817340723.32, 41.8877714162
92, 0.837798718418, 40649653195.6, 83530104.2046, 39.80981108
93, 0.786333690751, 2.94821203781e+14, 589954989271.0, 40.776849934
94, 0.786013466413, 9.8753734353e+14, 1.97508866139e+12, 39.5338546533
95, 0.786004296455, 3184716610.4, 7632322.48705, 40.0000533797
96, 0.786003982204, 1.35520630365e+13, 27109948086.3, 40.0207809253
97, 0.784365632745, 1.67665016517e+14, 335332087903.0, 39.1649217603
98, 0.784356415076, 2.27026853348e+13, 45406246350.0, 40.7744089147
99, 0.748720355872, 4.77516691574e+15, 9.55033444207e+12, 38.825739255
100, 0.725899674003, 6.29688370932e+17, 1.25937677822e+15, 39.5155434128
