
File: ../datasets/yacht_hydrodynamics.txtFinal results.
SEED: N_vars: 6 N_gens: 100 Pop_size: 500 XP: 0.3 MP: 0.9 TS: 2 MAX_D: 5 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN

1, 2285.28175816, 1103354859.01, 2412420.05599, 0.0
2, 2254.14213955, 7.38140838435e+13, 147629277813.0, 46.8219781756
3, 2120.75015125, 84459391.0524, 261887.760864, 44.38708122
4, 2085.78611288, 3016818219.49, 6142949.92968, 44.3339837619
5, 1988.39958491, 6829323473.4, 13841100.6264, 44.6187063636
6, 1920.25770151, 317878245.075, 836020.666458, 44.0630611117
7, 1920.25770151, 474817979.734, 1099450.05238, 45.6518215183
8, 1858.24115766, 703966591.988, 1512239.76568, 43.5511706054
9, 1764.63395751, 1145542172.07, 2418245.43259, 45.6139197496
10, 1718.02177254, 119841241.575, 340141.068222, 44.3892904775
11, 1712.12527153, 1852915533.01, 3892417.10239, 44.3867457494
12, 1703.88164312, 321932857.749, 764552.491808, 43.409455848
13, 1664.87037352, 2676171449.12, 5492191.48792, 44.0476949995
14, 1664.24681402, 408698781.778, 923935.428552, 44.5311341415
15, 1647.871136, 4.793007118e+11, 958773725.376, 43.9625475485
16, 1644.19150462, 152547786.732, 438076.141408, 43.2267876293
17, 1635.58795558, 4.3761759248e+13, 87523814065.2, 42.1245085788
18, 1625.85623158, 2.12120325424e+15, 4.24240670157e+12, 44.3869248675
19, 1623.53976502, 283125431.954, 743703.666363, 44.2561588368
20, 1623.04232996, 454360903.041, 1055005.003, 44.031284417
21, 1623.04232996, 1492841220.63, 4486882.97503, 41.8250270588
22, 1608.00157171, 69924712.6794, 269365.14882, 44.3961145421
23, 1606.36480193, 1077864190.41, 2295278.82244, 44.9575665136
24, 1606.36480193, 449267093.219, 1012070.58098, 44.1508939529
25, 1604.04518363, 343131874.4, 783181.847021, 42.9792107623
26, 1602.07030336, 283599779.07, 698270.383584, 44.3325786448
27, 1602.07030336, 9.56062383723e+14, 1.91212619754e+12, 46.2370019749
28, 1548.50471823, 419550225.158, 1012931.01762, 44.949759869
29, 1494.1654144, 1270530441.44, 2692842.21136, 44.6853898287
30, 1452.86032142, 281703252.104, 886085.418807, 45.072874143
31, 1432.25816509, 464222830.249, 1148119.05334, 44.0039430644
32, 1432.25816509, 768685665.369, 1661654.79142, 43.2293542157
33, 1432.25816509, 4223884632.23, 8606807.5437, 43.165942157
34, 1432.25816509, 420298845.983, 1023990.69017, 43.4605528443
35, 1425.81866784, 2364359393.96, 5660979.47748, 43.4185659884
36, 1425.81866784, 2325966226.01, 4731748.33743, 44.2386465244
37, 1411.07413589, 70645087.4828, 289025.804425, 43.7514622356
38, 1409.66088258, 172931579.893, 554329.471595, 43.6242944833
39, 1406.63278985, 5.17822528145e+13, 103564807849.0, 44.6334315334
40, 1405.96066625, 18237754859.7, 36688037.2601, 43.1645203659
41, 1383.47124409, 1.70348504947e+13, 34069833892.0, 43.5885339392
42, 1361.28243695, 324164575.335, 845664.237402, 44.2774561663
43, 1361.28243695, 4.80415565908e+14, 960831456623.0, 44.1963910564
44, 1361.28243695, 368938105.448, 1013618.43456, 43.7895980631
45, 1361.17731344, 1126746822.03, 2370702.51846, 44.4792942461
46, 1345.9913401, 122566395.689, 354247.081538, 43.340595253
47, 1334.01600072, 42411940.6622, 192658.095781, 43.8320517749
48, 1326.93830371, 10933714747.3, 22496317.8065, 43.3652905832
49, 1326.93830371, 420224406.403, 1840414.25874, 43.3596248653
50, 1326.93830371, 467615662.467, 1164192.63414, 43.8704851983
51, 1326.93830371, 3918218022.3, 8025742.21456, 43.8709568392
52, 1325.36156707, 89079212.8783, 306904.905271, 43.3546277026
53, 1323.77727588, 167268408.362, 462785.230611, 46.2660019297
54, 1323.77727588, 1306439424.92, 2755623.14222, 41.8407323109
55, 1323.77727588, 135717723.817, 434536.505542, 44.785329686
56, 1323.77727588, 604638799.983, 1490670.43497, 44.9565479873
57, 1323.77727588, 2.05286759446e+15, 4.10573542055e+12, 44.7912728463
58, 1323.50180246, 196773913.817, 487473.667884, 44.1635099094
59, 1323.34098167, 1503603416.71, 3155669.17231, 44.7600272647
60, 1323.34098167, 9860654539.35, 20122772.4061, 43.4328471127
61, 1323.34098167, 1058506159.54, 2271337.46707, 43.8004671119
62, 1322.3826192, 7.63952347378e+15, 1.52790470822e+13, 43.7524693495
63, 1277.84696322, 66484066.2702, 249464.146614, 45.3359499606
64, 1277.84696322, 107298627.395, 354658.33475, 44.8937279536
65, 1277.57285997, 73063567.7954, 228271.451556, 44.0368190939
66, 1277.57285997, 2.09259374751e+14, 418519208631.0, 43.4602251603
67, 1262.3855784, 100491951.79, 326602.896975, 44.6196217761
68, 1262.3855784, 56485067.2476, 252842.809119, 43.107380637
69, 1262.3855784, 9.13239296132e+15, 1.82647862209e+13, 44.0786477853
70, 1262.33407446, 701788438.012, 1680791.2339, 44.7053186108
71, 1238.71278065, 514173203.137, 1146336.82, 44.6473623574
72, 1217.4680646, 504292946.027, 1124612.04826, 43.7769373821
73, 1217.0572382, 6.05387796894e+13, 121077726525.0, 44.328855646
74, 1217.0572382, 7.59929629721e+16, 1.51985926263e+14, 42.2613057443
75, 1217.0572382, 1434257951.42, 3003753.71227, 45.4629797362
76, 1215.75309858, 934676880.008, 2060449.33738, 44.1346811277
77, 1214.45217665, 54017687.9947, 205238.857133, 44.5549823265
78, 1195.88450429, 446280508.674, 1020532.84687, 44.5760276337
79, 1194.85354255, 18523926691.5, 38158006.1764, 43.7736170423
80, 1189.77566404, 955680492.75, 2046898.959, 43.4825811076
81, 1189.77566404, 44799209005.2, 90190641.5367, 43.2392204224
82, 1189.77566404, 1.65317393149e+15, 3.30634797712e+12, 44.8145577409
83, 1179.40938779, 1.02732277186e+15, 2.05464582743e+12, 45.8753183895
84, 1176.12939523, 666916983.367, 1415825.96952, 44.0592883395
85, 1176.12939523, 309478603.002, 745486.874012, 45.4856749864
86, 1176.12939523, 1.2316547799e+15, 2.48337024653e+12, 44.531140087
87, 1163.70207639, 523885248.977, 1175378.18953, 43.8433717421
88, 1163.64908945, 1.8925849927e+14, 378517147711.0, 45.1643178722
89, 1163.64908945, 2224435217.44, 4828167.54421, 43.1333566038
90, 1162.65301579, 2124881277.77, 4415668.01952, 44.1622695532
91, 1159.30583658, 251841081.294, 669144.22008, 44.2580512881
92, 1159.30583658, 157060712.594, 502969.668455, 44.7255336781
93, 1159.30583658, 288875265.012, 703458.438321, 44.6083329731
94, 1159.30583658, 1863201424.55, 3823133.31265, 44.797791703
95, 1159.30583658, 299069143.753, 848546.818042, 44.4005767171
96, 1159.30583658, 1.9937274925e+16, 3.99590889189e+13, 42.7527581259
97, 1159.30583658, 2.17925154263e+14, 435850495946.0, 44.2304459942
98, 1158.39397226, 585278590.553, 1467893.58474, 44.9526448289
99, 1158.39397226, 1067985180.4, 2362709.0926, 44.8790408026
100, 1158.39397226, 1254548995.61, 2822999.70186, 44.8424209425
